email,league_name,league_year
srrogers@yahoo.co.uk,Oldies cup,2018
u_marsden@gmail.com,Oldies cup,2018
gary_the_man@yahoo.co.uk,Oldies cup,2018
tasha.marsden@gmail.com,Oldies cup,2018
srrogers@yahoo.co.uk,Oldies cup,2019
u_marsden@gmail.com,Oldies cup,2019
gary_the_man@yahoo.co.uk,Oldies cup,2019
tasha.marsden@gmail.com,Oldies cup,2019
u_marsden@gmail.com,Oldies cup,2020
gary_the_man@yahoo.co.uk,Oldies cup,2020
tasha.marsden@gmail.com,Oldies cup,2020
jwh@hotmail.com,Alexander McLintoch trophy,2018
tabitha.stacey@gmail.com,Alexander McLintoch trophy,2018
final_fantasy_freak1993@hotmail.com,Alexander McLintoch trophy,2018
sylvia.hathaway@gmail.com,Alexander McLintoch trophy,2018
louis.payne@gmail.com,Alexander McLintoch trophy,2018
jwh@hotmail.com,Alexander McLintoch trophy,2019
tabitha.stacey@gmail.com,Alexander McLintoch trophy,2019
final_fantasy_freak1993@hotmail.com,Alexander McLintoch trophy,2019
sylvia.hathaway@gmail.com,Alexander McLintoch trophy,2019
butch@xyz.club,Alexander McLintoch trophy,2019
gary_the_man@yahoo.co.uk,Alexander McLintoch trophy,2019
tabitha.stacey@gmail.com,Alexander McLintoch trophy,2020
sylvia.hathaway@gmail.com,Alexander McLintoch trophy,2020
butch@xyz.club,Alexander McLintoch trophy,2020
gary_the_man@yahoo.co.uk,Alexander McLintoch trophy,2020
