Player 1,,,Player 2,Venue name,Court number,Date,Year,League Name,,,
jwh@hotmail.com,2,3,tabitha.stacey@gmail.com,University Sports Centre,1,05/04/2018,2018,Alexander McLintoch trophy,,,
louis.payne@gmail.com,3,0,final_fantasy_freak1993@hotmail.com,University Sports Centre,3,11/04/2018,2018,Alexander McLintoch trophy,,,
jwh@hotmail.com,1,3,sylvia.hathaway@gmail.com,University Sports Centre,1,17/04/2018,2018,Alexander McLintoch trophy,,,
louis.payne@gmail.com,3,0,jwh@hotmail.com,University Sports Centre,3,07/05/2018,2018,Alexander McLintoch trophy,,,
tabitha.stacey@gmail.com,1,3,final_fantasy_freak1993@hotmail.com,Forthill Squash Club,2,23/05/2018,2018,Alexander McLintoch trophy,,,
sylvia.hathaway@gmail.com,3,2,tabitha.stacey@gmail.com,Waterstone Crook Sports Centre,2,25/05/2018,2018,Alexander McLintoch trophy,,,
louis.payne@gmail.com,3,1,tabitha.stacey@gmail.com,University Sports Centre,1,28/05/2018,2018,Alexander McLintoch trophy,,,
final_fantasy_freak1993@hotmail.com,2,3,sylvia.hathaway@gmail.com,University Sports Centre,1,13/06/2018,2018,Alexander McLintoch trophy,,,
jwh@hotmail.com,3,0,final_fantasy_freak1993@hotmail.com,University Sports Centre,1,21/06/2018,2018,Alexander McLintoch trophy,,,
sylvia.hathaway@gmail.com,2,3,louis.payne@gmail.com,University Sports Centre,3,09/07/2018,2018,Alexander McLintoch trophy,,,
tabitha.stacey@gmail.com,3,0,butch@xyz.club,University Sports Centre,1,11/04/2019,2019,Alexander McLintoch trophy,,,
butch@xyz.club,0,3,final_fantasy_freak1993@hotmail.com,University Sports Centre,1,12/04/2019,2019,Alexander McLintoch trophy,,,
sylvia.hathaway@gmail.com,0,3,butch@xyz.club,University Sports Centre,3,16/04/2019,2019,Alexander McLintoch trophy,,,
gary_the_man@yahoo.co.uk,1,3,tabitha.stacey@gmail.com,University Sports Centre,1,19/04/2019,2019,Alexander McLintoch trophy,,,
jwh@hotmail.com,3,2,sylvia.hathaway@gmail.com,Waterstone Crook Sports Centre,2,24/04/2019,2019,Alexander McLintoch trophy,,,
gary_the_man@yahoo.co.uk,3,2,final_fantasy_freak1993@hotmail.com,Waterstone Crook Sports Centre,2,30/04/2019,2019,Alexander McLintoch trophy,,,
sylvia.hathaway@gmail.com,1,3,final_fantasy_freak1993@hotmail.com,Waterstone Crook Sports Centre,4,03/05/2019,2019,Alexander McLintoch trophy,,,
tabitha.stacey@gmail.com,3,0,final_fantasy_freak1993@hotmail.com,University Sports Centre,3,13/05/2019,2019,Alexander McLintoch trophy,,,
jwh@hotmail.com,1,3,final_fantasy_freak1993@hotmail.com,University Sports Centre,3,21/05/2019,2019,Alexander McLintoch trophy,,,
gary_the_man@yahoo.co.uk,1,3,sylvia.hathaway@gmail.com,Waterstone Crook Sports Centre,4,06/06/2019,2019,Alexander McLintoch trophy,,,
tabitha.stacey@gmail.com,3,2,sylvia.hathaway@gmail.com,University Sports Centre,1,28/06/2019,2019,Alexander McLintoch trophy,,,
jwh@hotmail.com,0,3,tabitha.stacey@gmail.com,Waterstone Crook Sports Centre,2,15/07/2019,2019,Alexander McLintoch trophy,,,
jwh@hotmail.com,0,3,gary_the_man@yahoo.co.uk,University Sports Centre,1,17/07/2019,2019,Alexander McLintoch trophy,,,
jwh@hotmail.com,2,3,butch@xyz.club,University Sports Centre,1,22/07/2019,2019,Alexander McLintoch trophy,,,
gary_the_man@yahoo.co.uk,3,1,butch@xyz.club,University Sports Centre,1,26/07/2019,2019,Alexander McLintoch trophy,,,
tabitha.stacey@gmail.com,3,1,butch@xyz.club,Waterstone Crook Sports Centre,1,05/05/2020,2020,Alexander McLintoch trophy,,,
butch@xyz.club,1,3,sylvia.hathaway@gmail.com,Waterstone Crook Sports Centre,2,15/05/2020,2020,Alexander McLintoch trophy,,,
gary_the_man@yahoo.co.uk,1,3,sylvia.hathaway@gmail.com,East Sands Leisure Centre,1,26/05/2020,2020,Alexander McLintoch trophy,,,
tabitha.stacey@gmail.com,0,3,sylvia.hathaway@gmail.com,East Sands Leisure Centre,1,28/05/2020,2020,Alexander McLintoch trophy,,,
tabitha.stacey@gmail.com,3,2,gary_the_man@yahoo.co.uk,East Sands Leisure Centre,2,03/07/2020,2020,Alexander McLintoch trophy,,,
butch@xyz.club,3,2,gary_the_man@yahoo.co.uk,University Sports Centre,3,06/07/2020,2020,Alexander McLintoch trophy,,,
srrogers@yahoo.co.uk,3,0,tasha.marsden@gmail.com,Waterstone Crook Sports Centre,1,30/09/2018,2018,Oldies cup,,,
gary_the_man@yahoo.co.uk,3,2,u_marsden@gmail.com,Forthill Squash Club,2,28/10/2018,2018,Oldies cup,,,
srrogers@yahoo.co.uk,3,1,u_marsden@gmail.com,Waterstone Crook Sports Centre,1,02/11/2018,2018,Oldies cup,,,
gary_the_man@yahoo.co.uk,0,3,tasha.marsden@gmail.com,Waterstone Crook Sports Centre,4,04/11/2018,2018,Oldies cup,,,
tasha.marsden@gmail.com,1,3,u_marsden@gmail.com,Forthill Squash Club,2,06/11/2018,2018,Oldies cup,,,
